time_s,vehicle_speed_kmh,engine_rpm,throttle_percent,brake_pressure_bar,battery_voltage_v,motor_temperature_c
0,0,800,0,0,12.6,35
5,10,1200,20,0,12.6,38
10,25,1800,35,0,12.5,42
15,40,2300,45,0,12.5,47
20,55,2800,55,0,12.4,52
25,70,3300,65,0,12.4,58
30,85,3800,70,0,12.3,63
35,100,4200,75,0,12.3,68
40,115,4600,80,0,12.2,74
45,125,4900,85,0,12.2,80
50,130,5100,70,0,12.1,86
55,128,5000,45,0,12.1,91
60,120,4700,25,1.5,12.0,93
65,105,4100,10,2.5,12.0,90
70,90,3500,15,1.8,11.9,86
75,75,3000,20,0.8,11.9,82
80,65,2600,25,0,11.8,78
85,80,3400,60,0,11.8,82
90,95,4000,70,0,11.9,87
95,110,4500,75,0,12.0,92
100,118,4700,65,0,12.0,94
105,100,3900,20,2.0,12.1,90
110,80,3100,10,3.0,12.1,84
115,55,2300,5,3.5,12.2,76
120,30,1500,0,2.0,12.3,68
125,10,1000,0,1.0,12.4,58
130,0,800,0,0,12.5,50
